25/09/2023 19:07:35 - 0000:	 - train_loss: 1.275557:	 - test_loss: 1.139895:	 mIoU 0.8725
25/09/2023 19:08:07 - 0001:	 - train_loss: 1.247809:	 - test_loss: 1.124740:	 mIoU 0.8833
25/09/2023 19:08:39 - 0002:	 - train_loss: 1.225019:	 - test_loss: 1.125043:	 mIoU 0.8741
25/09/2023 19:09:11 - 0003:	 - train_loss: 1.245687:	 - test_loss: 1.120272:	 mIoU 0.8745
25/09/2023 19:09:43 - 0004:	 - train_loss: 1.243442:	 - test_loss: 1.145202:	 mIoU 0.8542
25/09/2023 19:10:15 - 0005:	 - train_loss: 1.228252:	 - test_loss: 1.120535:	 mIoU 0.8754
25/09/2023 19:10:47 - 0006:	 - train_loss: 1.224520:	 - test_loss: 1.122403:	 mIoU 0.8702
25/09/2023 19:11:19 - 0007:	 - train_loss: 1.235395:	 - test_loss: 1.113913:	 mIoU 0.8805
25/09/2023 19:11:51 - 0008:	 - train_loss: 1.227432:	 - test_loss: 1.109401:	 mIoU 0.8800
25/09/2023 19:12:23 - 0009:	 - train_loss: 1.225813:	 - test_loss: 1.112014:	 mIoU 0.8795
25/09/2023 19:12:55 - 0010:	 - train_loss: 1.229884:	 - test_loss: 1.122585:	 mIoU 0.8718
25/09/2023 19:13:27 - 0011:	 - train_loss: 1.240595:	 - test_loss: 1.130190:	 mIoU 0.8659
25/09/2023 19:13:59 - 0012:	 - train_loss: 1.233730:	 - test_loss: 1.124244:	 mIoU 0.8684
25/09/2023 19:14:31 - 0013:	 - train_loss: 1.220027:	 - test_loss: 1.110625:	 mIoU 0.8798
25/09/2023 19:15:03 - 0014:	 - train_loss: 1.227323:	 - test_loss: 1.103178:	 mIoU 0.8882
25/09/2023 19:15:36 - 0015:	 - train_loss: 1.225146:	 - test_loss: 1.099198:	 mIoU 0.8894
25/09/2023 19:16:08 - 0016:	 - train_loss: 1.217187:	 - test_loss: 1.095850:	 mIoU 0.8915
25/09/2023 19:16:40 - 0017:	 - train_loss: 1.234518:	 - test_loss: 1.100178:	 mIoU 0.8887
25/09/2023 19:17:13 - 0018:	 - train_loss: 1.228637:	 - test_loss: 1.099657:	 mIoU 0.8880
25/09/2023 19:17:45 - 0019:	 - train_loss: 1.215903:	 - test_loss: 1.102565:	 mIoU 0.8850
25/09/2023 19:18:18 - 0020:	 - train_loss: 5.766060:	 - test_loss: 5.584853:	 mIoU 0.8682
25/09/2023 19:18:50 - 0021:	 - train_loss: 5.644827:	 - test_loss: 5.492483:	 mIoU 0.8745
25/09/2023 19:19:22 - 0022:	 - train_loss: 5.565751:	 - test_loss: 5.423833:	 mIoU 0.8802
25/09/2023 19:19:55 - 0023:	 - train_loss: 5.516466:	 - test_loss: 5.376264:	 mIoU 0.8780
25/09/2023 19:20:27 - 0024:	 - train_loss: 5.466619:	 - test_loss: 5.331698:	 mIoU 0.8708
25/09/2023 19:20:59 - 0025:	 - train_loss: 5.418677:	 - test_loss: 5.282225:	 mIoU 0.8805
25/09/2023 19:21:31 - 0026:	 - train_loss: 5.377092:	 - test_loss: 5.246001:	 mIoU 0.8827
25/09/2023 19:22:04 - 0027:	 - train_loss: 5.351890:	 - test_loss: 5.211037:	 mIoU 0.8858
25/09/2023 19:22:36 - 0028:	 - train_loss: 5.308630:	 - test_loss: 5.181688:	 mIoU 0.8856
25/09/2023 19:23:09 - 0029:	 - train_loss: 5.290211:	 - test_loss: 5.161674:	 mIoU 0.8807
