16/07/2023 15:27:50 - 0000:	 - train_loss: 1.286498:	 - test_loss: 0.114011:	 mIoU 0.8897
16/07/2023 15:28:19 - 0001:	 - train_loss: 1.270911:	 - test_loss: 0.125644:	 mIoU 0.8777
16/07/2023 15:28:48 - 0002:	 - train_loss: 1.266335:	 - test_loss: 0.119043:	 mIoU 0.8851
16/07/2023 15:29:18 - 0003:	 - train_loss: 1.260105:	 - test_loss: 0.124866:	 mIoU 0.8783
16/07/2023 15:29:48 - 0004:	 - train_loss: 1.251529:	 - test_loss: 0.119716:	 mIoU 0.8835
16/07/2023 15:30:18 - 0005:	 - train_loss: 1.240584:	 - test_loss: 0.116241:	 mIoU 0.8861
16/07/2023 15:30:48 - 0006:	 - train_loss: 1.246336:	 - test_loss: 0.113974:	 mIoU 0.8890
16/07/2023 15:31:17 - 0007:	 - train_loss: 1.239449:	 - test_loss: 0.111858:	 mIoU 0.8907
16/07/2023 15:31:47 - 0008:	 - train_loss: 1.254533:	 - test_loss: 0.111923:	 mIoU 0.8913
16/07/2023 15:32:17 - 0009:	 - train_loss: 1.237976:	 - test_loss: 0.117021:	 mIoU 0.8860
16/07/2023 15:32:47 - 0010:	 - train_loss: 1.235628:	 - test_loss: 0.109886:	 mIoU 0.8931
16/07/2023 15:33:17 - 0011:	 - train_loss: 1.251942:	 - test_loss: 0.114728:	 mIoU 0.8877
16/07/2023 15:33:46 - 0012:	 - train_loss: 1.242451:	 - test_loss: 0.115979:	 mIoU 0.8873
16/07/2023 15:34:16 - 0013:	 - train_loss: 1.246165:	 - test_loss: 0.110670:	 mIoU 0.8926
16/07/2023 15:34:46 - 0014:	 - train_loss: 1.243860:	 - test_loss: 0.112899:	 mIoU 0.8901
16/07/2023 15:35:16 - 0015:	 - train_loss: 1.232183:	 - test_loss: 0.107803:	 mIoU 0.8950
16/07/2023 15:35:46 - 0016:	 - train_loss: 1.235399:	 - test_loss: 0.117065:	 mIoU 0.8858
16/07/2023 15:36:15 - 0017:	 - train_loss: 1.232274:	 - test_loss: 0.117607:	 mIoU 0.8851
16/07/2023 15:36:45 - 0018:	 - train_loss: 1.235066:	 - test_loss: 0.113264:	 mIoU 0.8899
16/07/2023 15:37:15 - 0019:	 - train_loss: 1.244852:	 - test_loss: 0.118189:	 mIoU 0.8847
16/07/2023 15:37:45 - 0020:	 - train_loss: 1.241576:	 - test_loss: 0.108820:	 mIoU 0.8939
